DATE,RESBALNS
1993-10-01,28.8850000000000000
1994-01-01,27.3663333333333333
1994-04-01,27.6323333333333333
1994-07-01,25.4853333333333333
1994-10-01,24.7066666666666667
1995-01-01,22.2120000000000000
1995-04-01,22.2400000000000000
1995-07-01,20.6316666666666667
1995-10-01,20.1830000000000000
1996-01-01,17.7170000000000000
1996-04-01,17.5593333333333333
1996-07-01,14.6526666666666667
1996-10-01,13.0023333333333333
1997-01-01,11.5320000000000000
1997-04-01,11.1420000000000000
1997-07-01,10.0360000000000000
1997-10-01,10.4083333333333333
1998-01-01,9.8180000000000000
1998-04-01,10.2156666666666667
1998-07-01,9.5430000000000000
1998-10-01,8.9683333333333333
1999-01-01,9.0183333333333333
1999-04-01,9.2286666666666667
1999-07-01,7.6523333333333333
1999-10-01,6.1046666666666667
2000-01-01,5.5856666666666667
2000-04-01,7.1333333333333333
2000-07-01,6.8740000000000000
2000-10-01,6.9053333333333333
2001-01-01,6.6296666666666667
2001-04-01,7.1243333333333333
2001-07-01,13.6290000000000000
2001-10-01,9.9783333333333333
2002-01-01,9.4500000000000000
2002-04-01,8.9376666666666667
2002-07-01,8.3863333333333333
2002-10-01,9.4863333333333333
2003-01-01,9.9183333333333333
2003-04-01,11.1556666666666667
2003-07-01,12.9340000000000000
2003-10-01,11.3270000000000000
2004-01-01,11.5073333333333333
2004-04-01,13.7906666666666667
2004-07-01,12.9033333333333333
2004-10-01,12.0196666666666667
2005-01-01,12.7760000000000000
2005-04-01,11.9940000000000000
2005-07-01,11.4120000000000000
2005-10-01,10.1476666666666667
2006-01-01,9.6063333333333333
2006-04-01,10.3373333333333333
2006-07-01,9.2306666666666667
2006-10-01,8.3586666666666667
2007-01-01,7.9333333333333333
2007-04-01,8.7910000000000000
2007-07-01,9.3120000000000000
2007-10-01,8.2900000000000000
2008-01-01,8.9646666666666667
2008-04-01,10.2476666666666667
2008-07-01,29.4926666666666667
2008-10-01,544.2420000000000000
2009-01-01,741.2936666666666667
2009-04-01,827.2720000000000000
2009-07-01,811.2910000000000000
2009-10-01,1073.3480000000000000
2010-01-01,1132.6943333333333333
2010-04-01,1068.6606666666666667
2010-07-01,1032.6006666666666667
2010-10-01,1010.4413333333333333
2011-01-01,1225.6093333333333333
2011-04-01,1550.9930000000000000
2011-07-01,1623.4040000000000000
2011-10-01,1562.8713333333333333
2012-01-01,1578.8496666666666667
2012-04-01,1518.5076666666666667
2012-07-01,1512.2363333333333333
2012-10-01,1497.2203333333333333
2013-01-01,1674.3230000000000000
2013-04-01,1924.7596666666666667
2013-07-01,2191.4536666666666667
2013-10-01,2441.0726666666666667
2014-01-01,2571.6863333333333333
2014-04-01,2654.6340000000000000
2014-07-01,2750.0516666666666667
2014-10-01,2610.6486666666666667
2015-01-01,2618.5930000000000000
2015-04-01,2612.1523333333333333
2015-07-01,2614.3540000000000000
2015-10-01,2563.3570000000000000
2016-01-01,2428.4290000000000000
2016-04-01,2392.9500000000000000
2016-07-01,2309.0923333333333333
2016-10-01,2088.8163333333333333
2017-01-01,2219.0030000000000000
2017-04-01,2237.9120000000000000
2017-07-01,2291.0243333333333333
2017-10-01,2268.1433333333333333
2018-01-01,2206.7950000000000000
2018-04-01,2032.2896666666666667
2018-07-01,1911.6170000000000000
